file_id,entity_id,entity_type,raw_layer,length,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,bbox_width,bbox_height,aspect_ratio,center_x,center_y,start_x,start_y,end_x,end_y,radius,start_angle,end_angle,n_vertices,is_closed,text_content,is_geometric,weak_label
14553569321165-1 Bed apartment plan,14553569321165-1 Bed apartment plan__0,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False,other
14553569321165-1 Bed apartment plan,14553569321165-1 Bed apartment plan__1,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False,other
14553569321165-1 Bed apartment plan,14553569321165-1 Bed apartment plan__2,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False,other
14553569321165-1 Bed apartment plan,14553569321165-1 Bed apartment plan__3,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False,other
14553569321165-1 Bed apartment plan,14553569321165-1 Bed apartment plan__4,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False,other
14553569321165-1 Bed apartment plan,14553569321165-1 Bed apartment plan__5,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False,other
14553569321165-1 Bed apartment plan,14553569321165-1 Bed apartment plan__6,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False,other
14553569321165-1 Bed apartment plan,14553569321165-1 Bed apartment plan__7,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False,other
14553569321165-1 Bed apartment plan,14553569321165-1 Bed apartment plan__8,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False,other
14553569321165-1 Bed apartment plan,14553569321165-1 Bed apartment plan__9,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False,other
14553569321165-1 Bed apartment plan,14553569321165-1 Bed apartment plan__10,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False,other
14553569321165-1 Bed apartment plan,14553569321165-1 Bed apartment plan__11,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False,other
14553569321165-1 Bed apartment plan,14553569321165-1 Bed apartment plan__12,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False,other
14553569321165-1 Bed apartment plan,14553569321165-1 Bed apartment plan__13,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False,other
14553569321165-1 Bed apartment plan,14553569321165-1 Bed apartment plan__14,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False,other
14553569321165-1 Bed apartment plan,14553569321165-1 Bed apartment plan__15,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False,other
14553569321165-1 Bed apartment plan,14553569321165-1 Bed apartment plan__16,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False,other
14553569321165-1 Bed apartment plan,14553569321165-1 Bed apartment plan__17,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False,other
14553569321165-1 Bed apartment plan,14553569321165-1 Bed apartment plan__18,INSERT,0,,,,,,,,,,,,,,,,,,,,,False,other
14553569321165-1 Bed apartment plan,14553569321165-1 Bed apartment plan__19,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False,other
14553569321165-1 Bed apartment plan,14553569321165-1 Bed apartment plan__20,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False,other
14553569321165-1 Bed apartment plan,14553569321165-1 Bed apartment plan__21,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False,other
14553569321165-1 Bed apartment plan,14553569321165-1 Bed apartment plan__22,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False,other
14553569321165-1 Bed apartment plan,14553569321165-1 Bed apartment plan__23,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False,other
14553569321165-1 Bed apartment plan,14553569321165-1 Bed apartment plan__24,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False,other
